channel,playlist,language,video_count,playlist_id
Numberbender English Only,LEARN FROM HOME,English,3,PLmnIr_qavptScT3j-oPX6aeC-eBHWxqgW
Numberbender English Only,MATH IN A MINUTE,English,34,PLmnIr_qavptQQsmleUhaxu8IF6AuHFj1-
Numberbender English Only,CHAPMAN ANNOUNCEMENTS,English,31,PLmnIr_qavptStmWLGKyB8D_uL2LvEq_sI
Numberbender English Only,WCU ANNOUNCEMENTS,English,46,PLmnIr_qavptShLCoW7nu42pitxXPNItc7
Numberbender English Only,Dr. E's Math Lectures,English,27,PLmnIr_qavptRRqOGr2HQwYPpVGJyApDfj
Numberbender English Only,"""How To Teach"" Videos",English,23,PLmnIr_qavptQIBUw5yp9gccmRo3f7QvF3
Numberbender English Only,Geometry,English,47,PLmnIr_qavptQl6bJpa4fQL5FHow5YvqCw
Numberbender English Only,FRQ Reimann Sums,English,2,PLmnIr_qavptSxx_xKyrhIEXrFRtAU5bC6
Numberbender English Only,FRQ Differential Equations,English,5,PLmnIr_qavptTkwKQWwuyyaBLqnUio0e2l
Numberbender English Only,Applications of Derivatives and Integrals,English,8,PLmnIr_qavptSj5Fc1O0lnWJS-EPxcXZTq
Numberbender English Only,Function Analysis,English,9,PLmnIr_qavptQEzHjBLz4cZQkirqd414xJ
Numberbender English Only,FRQ Implicit Differentiation,English,7,PLmnIr_qavptSG5lw5H2YcnoAbLveh_8XU
Numberbender English Only,Areas and Volumes,English,12,PLmnIr_qavptR6US4Z9kQlC3EIXK2i8z5x
Numberbender English Only,Accumulation Problem,English,8,PLmnIr_qavptQrTPg-38V4-jXZzOgNykZB
Numberbender English Only,Discrete Math,English,15,PLmnIr_qavptQXcuAO1ZoGIFL_iuutpPgs
Numberbender English Only,Complex Numbers,English,9,PLmnIr_qavptRDLJercfKsqXZopzVUpeCb
Numberbender English Only,Radicals,English,9,PLmnIr_qavptSq2lOA2sczn8LtOzMke9JX
Numberbender English Only,Hypothesis Testing,English,11,PLmnIr_qavptSGs1FLRPoV0h-g9nEONpOL
Numberbender English Only,Confidence Interval,English,12,PLmnIr_qavptRhVvbCAqWTXVwRUibL3iSL
Numberbender English Only,Discrete Random Variable,English,8,PLmnIr_qavptTBApfoB5SfU4fgU_LAq1rK
Numberbender English Only,Sampling Distribution,Filipino,5,PLmnIr_qavptQ0KQnDfSY7PlC0BpNpwwUt
Numberbender English Only,Designing Experiment,Filipino,5,PLmnIr_qavptRAFQc4Ti0J3MH4O1kU3ICa
Numberbender English Only,Probability,English,9,PLmnIr_qavptSZZQnlmZmVBQPcfBmfxpr5
Numberbender English Only,Linear Regression,English,7,PLmnIr_qavptSxrZGt9VoFMFUJTExKI_ET
Numberbender English Only,Normal Probability Distribution,English,12,PLmnIr_qavptSoB6f9-KE5_sHygBA3UCf3
Numberbender English Only,Single Variable Statistics,English,10,PLmnIr_qavptRkOK-iehDc86s_E6msuYzy
Numberbender English Only,Polynomial Operations,English,4,PLmnIr_qavptRhuT2AiHDLVGs41q4tFTmp
Numberbender English Only,Exponents,English,4,PLmnIr_qavptQ9s24GhHKRWyDzUmB_EA9S
Numberbender English Only,Linear Inequality,English,5,PLmnIr_qavptRpd9E4AWlZPKLnZ-ko8hfo
Numberbender English Only,Linear Equation,English,6,PLmnIr_qavptQlndFlV62felslRFxfOfa0
Numberbender English Only,Cartesian Plane (x-y plane),English,5,PLmnIr_qavptS8htQAY64E_LG7dz8gkHXH
Numberbender English Only,Algebra Fundamentals,English,27,PLmnIr_qavptTjIXGVLr74bxkKEgAUvNDx
Numberbender English Only,Graph of Trig Functions,English,3,PLmnIr_qavptQ_yE7X34fIXK3UYsCRGiMU
Numberbender English Only,Polar Coordinates,English,5,PLmnIr_qavptRnvADSmbDBgWRzn76Ni3ox
Numberbender English Only,Oblique Triangles,English,2,PLmnIr_qavptTcbxezDE0y35Hay2v_TuEg
Numberbender English Only,Trigonometric Identities,English,9,PLmnIr_qavptS30LFWVATgXe6guqxTg5ft
Numberbender English Only,Right Triangle Trigonometry,English,6,PLmnIr_qavptRpa8QlhGxkVmPkObzGlLH4
Numberbender English Only,Conic Sections,English,12,PLmnIr_qavptSP1xzIexoB2NYTsZ6S5JFN
Numberbender English Only,Sequences and Series,English,7,PLmnIr_qavptR8agGVaZUI-iWSjFtfz3jN
Numberbender English Only,Rational Functions,English,2,PLmnIr_qavptTPXtGZ874ESUeZwhXGPzlx
Numberbender English Only,Rational Expressions,English,11,PLmnIr_qavptTBYYWEWGnxQZsPHioZcahi
Numberbender English Only,Quadratics,English,26,PLmnIr_qavptTxuRAcnt7qnrlTj22sPaF5
Numberbender English Only,Polynomials,English,12,PLmnIr_qavptRxWO17BkthysmhRrapmvoS
Numberbender English Only,Linear Algebra,English,12,PLmnIr_qavptTZqkCaKglASR0BWD0C19i2
Numberbender English Only,Linear Systems,English,7,PLmnIr_qavptQlLSQdB_TdiXrX2i1G0LH-
Numberbender English Only,Function Operations,English,5,PLmnIr_qavptSmQErWN9usFv-CxqyY4UZ5
Numberbender English Only,Differential Equations,English,3,PLmnIr_qavptRL12l81ZUrEbjp6Sg-5rFE
Numberbender English Only,Applications of Integrals,English,10,PLmnIr_qavptRycBItnCqL7Zwd_4dEkbaf
Numberbender English Only,Antiderivatives and Integration,English,9,PLmnIr_qavptSAVgMXnw3Ywr3LqhFIpbmS
Numberbender English Only,Implicit Differentiation,English,8,PLmnIr_qavptScQuyshHDp3jyQybhJjOUm
Numberbender English Only,Transcendental Functions,English,8,PLmnIr_qavptRuCbCbMkSaXqBah4uRaHi6
Numberbender English Only,Applications of Derivatives,English,26,PLmnIr_qavptRTbz4GWFbljPRijy2t0PNp
Numberbender English Only,Derivatives,English,33,PLmnIr_qavptSJj_DR3PbzjjSXDWMUk3Px
Numberbender English Only,Limits,English,11,PLmnIr_qavptToyz2gohIAPKI4RbQ4j1a5
Numberbender English Only,Inferential STATISTICS,English,29,PLmnIr_qavptRVGGLGaNUjjem-UxzASw-O
Numberbender English Only,Descriptive STATISTICS,English,24,PLmnIr_qavptQldO-LQL_MvGw1MzhcY0jP
Numberbender English Only,Integral CALCULUS,English,21,PLmnIr_qavptQsMt23deyDFhGREbNV5bKP
Numberbender English Only,Differential CALCULUS,English,43,PLmnIr_qavptQJfiiHWDx3IrIQvuVzDHQJ
Numberbender English Only,Logarithm and Exponential Functions,English,10,PLmnIr_qavptQJoOGQ_3XvNcb1B9kAqSa9
Numberbender English Only,Trigonometry/Precalculus,English,25,PLmnIr_qavptQIXkFdRqsDSKGGk_a0RZyv
Numberbender English Only,Intermediate Algebra/Precalculus,English,58,PLmnIr_qavptQNVsjAFtqYhSr4Bt_nc3c-
